model,component,interest,sparsity,endog,exog,component_time,success,success_time,accuracy,execution_id
decisionTree,ALL,-0.0001811078973348,0.0410958904109589,-1,-1,237,20,-1,-489.07248913299605,I-122-9-5
randomForest,ALL,-0.011328530354792,0.0410958904109589,-1,-1,491,20,-1,-493.17139609023246,I-122-9-5
univariateTS,Sensor-0.25_0_0.2,0.5047497496005285,0.0410958904109589,1,0,22277,21,22274,0.0264211751032722,I-122-6-4
univariateTS,Sensor-0.25_0_0.4,0.3473471690776862,0.0410958904109589,1,0,19902,21,19900,0.2849907178164204,I-122-6-4
univariateTS,Sensor-0.25_0_0.6,0.911929637106923,0.0410958904109589,1,0,26582,21,26580,0.8365805712178389,I-122-6-4
univariateTS,Sensor-0.5_0_0.2,0.7554877421943087,0.0410958904109589,1,0,21491,21,21490,0.1635698071168266,I-122-6-4
univariateTS,Sensor-0.5_0_0.4,0.8865633203163708,0.0410958904109589,1,0,18984,21,18981,0.9185384784284442,I-122-6-4
univariateTS,Sensor-0.5_0_0.6,-0.1179767910192559,0.0410958904109589,1,0,20912,21,20913,-0.0087706305514534,I-122-6-4
multivariateTS,ALL,-1.369326295197362,0.0410958904109589,6,0,75038,8,74910,-7.016952358923111,I-122-6-4
timeDecisionTree,Sensor-0.25_0_0.2,-3.374999999999999,0.0410958904109589,1,0,213,20,-1,-9.0,I-122-6-4
timeDecisionTree,Sensor-0.25_0_0.4,-2.1077552901390857,0.0410958904109589,1,0,213,20,-1,-2.3617841964784287,I-122-6-4
timeDecisionTree,Sensor-0.25_0_0.6,-0.0135738574649908,0.0410958904109589,1,0,209,20,-1,-0.2995268549514813,I-122-6-4
timeDecisionTree,Sensor-0.5_0_0.2,-7.5368191281538515,0.0410958904109589,1,0,211,20,-1,-39.49708476603367,I-122-6-4
timeDecisionTree,Sensor-0.5_0_0.4,-4.170874480102782e-05,0.0410958904109589,1,0,208,20,-1,-0.3310166659252456,I-122-6-4
timeDecisionTree,Sensor-0.5_0_0.6,-2.1933176290088268,0.0410958904109589,1,0,211,20,-1,-1.3930023511123777,I-122-6-4
timeRandomForest,Sensor-0.25_0_0.2,-2.5026041666666266,0.0410958904109589,1,0,459,20,-1,-7.111111111111024,I-122-6-4
timeRandomForest,Sensor-0.25_0_0.4,-0.609226168820133,0.0410958904109589,1,0,452,20,-1,-0.8846492797243237,I-122-6-4
timeRandomForest,Sensor-0.25_0_0.6,-0.3160086118644833,0.0410958904109589,1,0,450,20,-1,-0.0006816465849774,I-122-6-4
timeRandomForest,Sensor-0.5_0_0.2,-11.768932341584671,0.0410958904109589,1,0,455,20,-1,-57.59113635986107,I-122-6-4
timeRandomForest,Sensor-0.5_0_0.4,-0.032276363869405,0.0410958904109589,1,0,462,20,-1,-0.1398800657483667,I-122-6-4
timeRandomForest,Sensor-0.5_0_0.6,-4.08542332965851,0.0410958904109589,1,0,447,20,-1,-2.877555633724871,I-122-6-4
decisionTree,ALL,-40.44126509493808,0.0410958904109589,-1,-1,222,20,-1,-1341.573989256854,I-122-6-4
randomForest,ALL,-40.46200810072438,0.0410958904109589,-1,-1,475,20,-1,-1340.888296848249,I-122-6-4
univariateTS,Sensor-0.25_0_0.2,0.5047497496005285,0.0410958904109589,1,0,21819,21,21818,0.0264211751032722,I-122-5-3
univariateTS,Sensor-0.25_0_0.4,0.3473471690776862,0.0410958904109589,1,0,19680,21,19679,0.2849907178164204,I-122-5-3
univariateTS,Sensor-0.25_0_0.6,0.911929637106923,0.0410958904109589,1,0,26847,21,26847,0.8365805712178389,I-122-5-3
univariateTS,Sensor-0.5_0_0.2,0.7554877421943087,0.0410958904109589,1,0,21910,21,21907,0.1635698071168266,I-122-5-3
univariateTS,Sensor-0.5_0_0.4,0.8865633203163708,0.0410958904109589,1,0,18949,21,18949,0.9185384784284442,I-122-5-3
multivariateTS,ALL,-1.696836292516778,0.0410958904109589,5,0,206156,12,206074,-5.125237258766594,I-122-5-3
timeDecisionTree,Sensor-0.25_0_0.2,-3.374999999999999,0.0410958904109589,1,0,208,20,-1,-9.0,I-122-5-3
timeDecisionTree,Sensor-0.25_0_0.4,-2.1077552901390857,0.0410958904109589,1,0,209,20,-1,-2.3617841964784287,I-122-5-3
timeDecisionTree,Sensor-0.25_0_0.6,-0.0135738574649908,0.0410958904109589,1,0,209,20,-1,-0.2995268549514813,I-122-5-3
timeDecisionTree,Sensor-0.5_0_0.2,-7.5368191281538515,0.0410958904109589,1,0,208,20,-1,-39.49708476603367,I-122-5-3
timeDecisionTree,Sensor-0.5_0_0.4,-4.170874480102782e-05,0.0410958904109589,1,0,208,20,-1,-0.3310166659252456,I-122-5-3
timeRandomForest,Sensor-0.25_0_0.2,-2.5026041666666266,0.0410958904109589,1,0,452,20,-1,-7.111111111111024,I-122-5-3
timeRandomForest,Sensor-0.25_0_0.4,-0.609226168820133,0.0410958904109589,1,0,454,20,-1,-0.8846492797243237,I-122-5-3
timeRandomForest,Sensor-0.25_0_0.6,-0.3160086118644833,0.0410958904109589,1,0,452,20,-1,-0.0006816465849774,I-122-5-3
timeRandomForest,Sensor-0.5_0_0.2,-11.768932341584671,0.0410958904109589,1,0,453,20,-1,-57.59113635986107,I-122-5-3
timeRandomForest,Sensor-0.5_0_0.4,-0.032276363869405,0.0410958904109589,1,0,453,20,-1,-0.1398800657483667,I-122-5-3
decisionTree,ALL,-25.37148237159444,0.0410958904109589,-1,-1,229,20,-1,-1506.156905677994,I-122-5-3
randomForest,ALL,-25.37310502745225,0.0410958904109589,-1,-1,476,20,-1,-1508.011179742002,I-122-5-3
univariateTS,Sensor-0.25_0_0.2,0.5047497496005285,0.0410958904109589,1,0,21996,21,21993,0.0264211751032722,I-122-4-2
univariateTS,Sensor-0.25_0_0.4,0.3473471690776862,0.0410958904109589,1,0,19856,21,19858,0.2849907178164204,I-122-4-2
univariateTS,Sensor-0.25_0_0.6,0.911929637106923,0.0410958904109589,1,0,26770,21,26768,0.8365805712178389,I-122-4-2
univariateTS,Sensor-0.5_0_0.2,0.7554877421943087,0.0410958904109589,1,0,21576,21,21576,0.1635698071168266,I-122-4-2
multivariateTS,ALL,-0.8317849834467486,0.0410958904109589,4,0,100188,9,39370,-3.825843697044238,I-122-4-2
timeDecisionTree,Sensor-0.25_0_0.2,-3.374999999999999,0.0410958904109589,1,0,280,20,-1,-9.0,I-122-4-2
timeDecisionTree,Sensor-0.25_0_0.4,-2.1077552901390857,0.0410958904109589,1,0,206,20,-1,-2.3617841964784287,I-122-4-2
timeDecisionTree,Sensor-0.25_0_0.6,-0.0135738574649908,0.0410958904109589,1,0,206,20,-1,-0.2995268549514813,I-122-4-2
timeDecisionTree,Sensor-0.5_0_0.2,-7.5368191281538515,0.0410958904109589,1,0,207,20,-1,-39.49708476603367,I-122-4-2
timeRandomForest,Sensor-0.25_0_0.2,-2.5026041666666266,0.0410958904109589,1,0,452,20,-1,-7.111111111111024,I-122-4-2
timeRandomForest,Sensor-0.25_0_0.4,-0.609226168820133,0.0410958904109589,1,0,452,20,-1,-0.8846492797243237,I-122-4-2
timeRandomForest,Sensor-0.25_0_0.6,-0.3160086118644833,0.0410958904109589,1,0,451,20,-1,-0.0006816465849774,I-122-4-2
timeRandomForest,Sensor-0.5_0_0.2,-11.768932341584671,0.0410958904109589,1,0,451,20,-1,-57.59113635986107,I-122-4-2
decisionTree,ALL,-3.941647572047702,0.0410958904109589,-1,-1,219,20,-1,-1256.42113918373,I-122-4-2
randomForest,ALL,-5.711121248408034,0.0410958904109589,-1,-1,473,20,-1,-1582.5980226498382,I-122-4-2
univariateTS,Sensor-0.25_0_0.2,0.5047497496005285,0.0410958904109589,1,0,22184,21,22181,0.0264211751032722,I-122-3-1
univariateTS,Sensor-0.25_0_0.4,0.3473471690776862,0.0410958904109589,1,0,19734,21,19732,0.2849907178164204,I-122-3-1
univariateTS,Sensor-0.25_0_0.6,0.911929637106923,0.0410958904109589,1,0,26817,21,26817,0.8365805712178389,I-122-3-1
multivariateTS,ALL,-1.5130135056905214,0.0410958904109589,3,0,38381,12,38347,-1.6124007517456065,I-122-3-1
timeDecisionTree,Sensor-0.25_0_0.2,-3.374999999999999,0.0410958904109589,1,0,208,20,-1,-9.0,I-122-3-1
timeDecisionTree,Sensor-0.25_0_0.4,-2.1077552901390857,0.0410958904109589,1,0,207,20,-1,-2.3617841964784287,I-122-3-1
timeDecisionTree,Sensor-0.25_0_0.6,-0.0135738574649908,0.0410958904109589,1,0,208,20,-1,-0.2995268549514813,I-122-3-1
timeRandomForest,Sensor-0.25_0_0.2,-2.5026041666666266,0.0410958904109589,1,0,457,20,-1,-7.111111111111024,I-122-3-1
timeRandomForest,Sensor-0.25_0_0.4,-0.609226168820133,0.0410958904109589,1,0,453,20,-1,-0.8846492797243237,I-122-3-1
timeRandomForest,Sensor-0.25_0_0.6,-0.3160086118644833,0.0410958904109589,1,0,456,20,-1,-0.0006816465849774,I-122-3-1
decisionTree,ALL,-2.4191544763060766,0.0410958904109589,-1,-1,222,20,-1,-33.81986526872985,I-122-3-1
randomForest,ALL,-2.350333069524343,0.0410958904109589,-1,-1,472,20,-1,-33.152780149685,I-122-3-1
univariateTS,Sensor-0.25_0_0.4,0.3473471690776862,0.0410958904109589,1,0,20298,21,20297,0.2849907178164204,I-122-2-0
univariateTS,Sensor-0.25_0_0.6,0.911929637106923,0.0410958904109589,1,0,26587,21,26586,0.8365805712178389,I-122-2-0
multivariateTS,ALL,-0.0892331167869431,0.0410958904109589,2,0,12303,11,9800,-0.0856247495635473,I-122-2-0
timeDecisionTree,Sensor-0.25_0_0.4,-2.1077552901390857,0.0410958904109589,1,0,206,20,-1,-2.3617841964784287,I-122-2-0
timeDecisionTree,Sensor-0.25_0_0.6,-0.0135738574649908,0.0410958904109589,1,0,207,20,-1,-0.2995268549514813,I-122-2-0
timeRandomForest,Sensor-0.25_0_0.4,-0.609226168820133,0.0410958904109589,1,0,457,20,-1,-0.8846492797243237,I-122-2-0
timeRandomForest,Sensor-0.25_0_0.6,-0.3160086118644833,0.0410958904109589,1,0,460,20,-1,-0.0006816465849774,I-122-2-0
decisionTree,ALL,-0.6304387430398055,0.0410958904109589,-1,-1,222,20,-1,-14.846998228209104,I-122-2-0
randomForest,ALL,-0.2575704621582408,0.0410958904109589,-1,-1,473,20,-1,-9.013130669412792,I-122-2-0
timeDecisionTree,Sensor-0.25_0_0.2,-2.0013463420739246,0.0491958372753074,1,0,222,20,-1,-9.007968750593015,I-120-12-6
timeDecisionTree,Sensor-0.25_0_0.4,-0.1153979021388313,0.0491958372753074,1,0,225,20,-1,-1.95260563490454,I-120-12-6
timeDecisionTree,Sensor-0.25_0_0.6,-0.0125950955838047,0.0491958372753074,1,0,223,20,-1,-2929.444491906845,I-120-12-6
timeDecisionTree,Sensor-0.5_0_0.2,-2.750703342328551,0.0491958372753074,1,0,228,20,-1,-121.32496255142154,I-120-12-6
timeDecisionTree,Sensor-0.5_0_0.4,-10.956127881067696,0.0491958372753074,1,0,225,20,-1,-395.35380927871154,I-120-12-6
timeDecisionTree,Sensor-0.5_0_0.6,-6.573158883035377,0.0491958372753074,1,0,227,20,-1,-19812.836994190915,I-120-12-6
timeDecisionTree,Sensor-0.8_0_0.2,-10.462858294906034,0.0491958372753074,1,0,226,20,-1,-8163.950085078719,I-120-12-6
timeDecisionTree,Sensor-0.8_0_0.4,-15.94964791312725,0.0491958372753074,1,0,226,20,-1,-644.0021968664258,I-120-12-6
timeDecisionTree,Sensor-0.8_0_0.6,-12.099350988832796,0.0491958372753074,1,0,221,20,-1,-762.6294251448899,I-120-12-6
timeDecisionTree,Sensor-0_0_0.2,-0.6179230148213593,0.0491958372753074,1,0,229,20,-1,-13.066616659277688,I-120-12-6
timeDecisionTree,Sensor-0_0_0.4,-3.748553518700959e-07,0.0491958372753074,1,0,225,20,-1,-4.8448222782521375,I-120-12-6
timeDecisionTree,Sensor-0_0_0.6,-2.842205277780836,0.0491958372753074,1,0,221,20,-1,-5603.0097435475045,I-120-12-6
timeRandomForest,Sensor-0.25_0_0.2,-0.7837038906099845,0.0491958372753074,1,0,492,20,-1,-5.209685632371546,I-120-12-6
timeRandomForest,Sensor-0.25_0_0.4,-0.2212379342138133,0.0491958372753074,1,0,491,20,-1,-1.431525548409562,I-120-12-6
timeRandomForest,Sensor-0.25_0_0.6,-0.0140661622235864,0.0491958372753074,1,0,490,20,-1,-2964.985688720393,I-120-12-6
timeRandomForest,Sensor-0.5_0_0.2,-3.551188157665248,0.0491958372753074,1,0,488,20,-1,-147.36013272807048,I-120-12-6
timeRandomForest,Sensor-0.5_0_0.4,-10.722359627376212,0.0491958372753074,1,0,497,20,-1,-389.39676843211777,I-120-12-6
timeRandomForest,Sensor-0.5_0_0.6,-6.5497653562868114,0.0491958372753074,1,0,481,20,-1,-19769.96461330996,I-120-12-6
timeRandomForest,Sensor-0.8_0_0.2,-10.337171245337588,0.0491958372753074,1,0,479,20,-1,-8099.643154657951,I-120-12-6
timeRandomForest,Sensor-0.8_0_0.4,-16.817953408778667,0.0491958372753074,1,0,479,20,-1,-671.3947057211521,I-120-12-6
timeRandomForest,Sensor-0.8_0_0.6,-11.686852247026442,0.0491958372753074,1,0,484,20,-1,-744.8695797319823,I-120-12-6
timeRandomForest,Sensor-0_0_0.2,-0.9476161610983296,0.0491958372753074,1,0,480,20,-1,-15.297696452146036,I-120-12-6
timeRandomForest,Sensor-0_0_0.4,-1.1037702281912822,0.0491958372753074,1,0,491,20,-1,-11.699854586922628,I-120-12-6
timeRandomForest,Sensor-0_0_0.6,-2.8787427640508163,0.0491958372753074,1,0,480,20,-1,-5638.806703601846,I-120-12-6
