execution_id,model,time
Cimice-114-Test4,univariateTS,27832
Cimice-114-Test4,multivariateTS,5446
Cimice-114-Test4,timeDecisionTree,1350
Cimice-114-Test4,timeRandomForest,1844
Cimice-114-Test4,decisionTree,228
Cimice-114-Test4,randomForest,484
40535375-af1f-4061-8501-c925633ab091,pivot,7
40535375-af1f-4061-8501-c925633ab091,univariateTS,122684
40535375-af1f-4061-8501-c925633ab091,multivariateTS,37185
40535375-af1f-4061-8501-c925633ab091,timeDecisionTree,12609
40535375-af1f-4061-8501-c925633ab091,timeRandomForest,14479
40535375-af1f-4061-8501-c925633ab091,decisionTree,229
40535375-af1f-4061-8501-c925633ab091,randomForest,485
7d45cd35-0c20-4614-96a9-d25a8be0361d,pivot,4
7d45cd35-0c20-4614-96a9-d25a8be0361d,univariateTS,17199
7d45cd35-0c20-4614-96a9-d25a8be0361d,timeDecisionTree,627
7d45cd35-0c20-4614-96a9-d25a8be0361d,timeRandomForest,944
7d45cd35-0c20-4614-96a9-d25a8be0361d,decisionTree,237
7d45cd35-0c20-4614-96a9-d25a8be0361d,randomForest,489
Cimice-202-2,pivot,4
Cimice-202-2,univariateTS,29440
Cimice-202-2,timeDecisionTree,603
Cimice-202-2,timeRandomForest,849
Cimice-202-2,decisionTree,283
Cimice-202-2,randomForest,471
Cimice-202-1,pivot,4
Cimice-202-1,univariateTS,22178
Cimice-202-1,timeDecisionTree,566
Cimice-202-1,timeRandomForest,857
Cimice-202-1,decisionTree,211
Cimice-202-1,randomForest,453
Cimice-202-0,pivot,4
Cimice-202-0,univariateTS,20122
Cimice-202-0,timeDecisionTree,659
Cimice-202-0,timeRandomForest,753
Cimice-202-0,decisionTree,211
Cimice-202-0,randomForest,513
Cimice-202-0,pivot,4
Cimice-202-0,univariateTS,17486
Cimice-202-0,timeDecisionTree,508
Cimice-202-0,timeRandomForest,747
Cimice-202-0,decisionTree,210
Cimice-202-0,randomForest,508
