model,component,interest,sparsity,endog,exog,component_time,execution_id
multivariateTS,ALL,-252.3165084254069,0.1958762886597938,2,0,6986,I5
timeDecisionTree,Sensor-0.3_0_0.4,-0.1176470588235294,0.1958762886597938,1,1,108,I5
timeRandomForest,Sensor-0.3_0_0.4,-2.117436575625373,0.1958762886597938,1,1,226,I5
decisionTree,ALL,-1.4700772673982128,0.0979381443298969,-1,-1,114,I5
randomForest,ALL,-1.3952344485320936,0.0979381443298969,-1,-1,234,I5
univariateTS,Sensor-0.3_0_0.2,-2.413997522754153,0.0987868284228769,1,0,119920,I4
timeDecisionTree,Sensor-0.3_0_0.2,-0.3561791711661515,0.0987868284228769,1,0,116,I4
timeRandomForest,Sensor-0.3_0_0.2,-0.246442593727016,0.0987868284228769,1,0,239,I4
decisionTree,ALL,-0.3561791711661515,0.0987868284228769,-1,-1,118,I4
randomForest,ALL,-0.246442593727016,0.0987868284228769,-1,-1,242,I4
univariateTS,Sensor-0.3_0_0.2,0.4520943298224121,0.0987012987012987,1,0,75575,I3
timeDecisionTree,Sensor-0.3_0_0.2,-3.542383908557849,0.0987012987012987,1,0,109,I3
timeRandomForest,Sensor-0.3_0_0.2,-3.608719412623637,0.0987012987012987,1,0,233,I3
decisionTree,ALL,-3.542383908557849,0.0987012987012987,-1,-1,111,I3
randomForest,ALL,-3.608719412623637,0.0987012987012987,-1,-1,233,I3
univariateTS,Sensor-0.3_0_0.2,-6.396293920000973,0.0968858131487889,1,0,43666,I2
timeDecisionTree,Sensor-0.3_0_0.2,-3.671473601409448,0.0968858131487889,1,0,113,I2
timeRandomForest,Sensor-0.3_0_0.2,-4.885038494994324,0.0968858131487889,1,0,232,I2
decisionTree,ALL,-3.671473601409448,0.0968858131487889,-1,-1,111,I2
randomForest,ALL,-4.885038494994324,0.0968858131487889,-1,-1,231,I2
univariateTS,Sensor-0.3_0_0.2,0.8486811621611755,0.0984455958549222,1,0,37498,I1
timeDecisionTree,Sensor-0.3_0_0.2,-2.8817086787794817,0.0984455958549222,1,0,113,I1
timeRandomForest,Sensor-0.3_0_0.2,-2.7244562516908086,0.0984455958549222,1,0,229,I1
decisionTree,ALL,-2.8817086787794817,0.0984455958549222,-1,-1,112,I1
randomForest,ALL,-2.7244562516908086,0.0984455958549222,-1,-1,294,I1
univariateTS,Sensor-0.3_0_0.2,-4.470510684377183,0.0927835051546391,1,0,17422,I0
timeDecisionTree,Sensor-0.3_0_0.2,-4.693820627262266,0.0927835051546391,1,0,111,I0
timeRandomForest,Sensor-0.3_0_0.2,-14.09381134416412,0.0927835051546391,1,0,231,I0
decisionTree,ALL,-4.693820627262266,0.0927835051546391,-1,-1,112,I0
randomForest,ALL,-14.09381134416412,0.0927835051546391,-1,-1,291,I0
univariateTS,Sensor-0.3_0_0.6,0.6561944234229704,0.2998266897746967,1,2,76961,I14
multivariateTS,ALL,-3.997757986959856,0.2998266897746967,3,0,47936,I14
timeDecisionTree,Sensor-0.3_0_0.6,-2.053872350916225,0.2998266897746967,1,2,112,I14
timeRandomForest,Sensor-0.3_0_0.6,-2.490785571306325,0.2998266897746967,1,2,237,I14
decisionTree,ALL,-19.27110946368332,0.0999422299248989,-1,-1,129,I14
randomForest,ALL,-18.175217161056544,0.0999422299248989,-1,-1,263,I14
univariateTS,Sensor-0.3_0_0.6,0.6477985567005603,0.2987012987012987,1,2,50824,I13
multivariateTS,ALL,-3.5333936677416973,0.2987012987012987,3,0,39713,I13
timeDecisionTree,Sensor-0.3_0_0.6,-1.3318212641938918,0.2987012987012987,1,2,111,I13
timeRandomForest,Sensor-0.3_0_0.6,-1.005980364391415,0.2987012987012987,1,2,236,I13
decisionTree,ALL,-129.3445664903128,0.0995670995670995,-1,-1,124,I13
randomForest,ALL,-130.03817428896906,0.0995670995670995,-1,-1,253,I13
univariateTS,Sensor-0.3_0_0.6,-0.1551453648050338,0.2975778546712803,1,2,35210,I12
multivariateTS,ALL,0.4142121632919742,0.2975778546712803,3,0,31448,I12
timeDecisionTree,Sensor-0.3_0_0.6,-0.4205971815073686,0.2975778546712803,1,2,111,I12
timeRandomForest,Sensor-0.3_0_0.6,-0.0210713599480383,0.2975778546712803,1,2,236,I12
decisionTree,ALL,-189.5316406146844,0.09919261822376,-1,-1,121,I12
randomForest,ALL,-454.6120857854687,0.09919261822376,-1,-1,251,I12
univariateTS,Sensor-0.3_0_0.6,-16.48958492516769,0.2953367875647668,1,2,26252,I11
multivariateTS,ALL,-22.69339532181628,0.2953367875647668,3,0,29212,I11
timeDecisionTree,Sensor-0.3_0_0.6,-5.6050379178355865,0.2953367875647668,1,2,114,I11
