week_in_year,province,adults,small_instars,total_captures,large_instars,degree_days,avgadults,avgsmall_instars,avgtotal_captures,avglarge_instars,avgdegree_days,temperature,humidity,cum_degree_days,avgcum_degree_days
2021-32,MO,439.0,388.0,872.0,45.0,2133.700164794924,19.08695652173913,16.869565217391305,37.91304347826087,1.9565217391304348,92.769572382388,25.538375499612158,54.182125603864726,24514.000183105527,1065.8260949176317
2021-32,PC,48.0,15.0,70.0,7.0,288.1000427246099,16.0,5.0,23.333333333333332,2.3333333333333335,96.03334757486996,25.919049653552868,53.4761904761905,3363.800195312508,1121.266731770836
2021-32,PR,5.71428571428572,12.57142857142858,18.2857142857143,0.0,317.799945068361,1.9047619047619067,4.190476190476193,6.0952380952381,0.0,105.933315022787,26.038092912946432,54.35119047619047,3333.999896240244,1111.333298746748
2021-32,RA,520.8933768933769,630.4603504603505,1236.01782001782,84.66409266409266,5333.1005432128995,10.017180324872633,12.124237508852893,23.769573461881155,1.6281556281556282,102.5596258310173,26.52229734196995,53.056064768564774,57254.40252075211,1101.046202322156
2021-32,RE,119.0,65.0,238.0,54.0,810.9999694824234,11.9,6.5,23.8,5.4,81.09999694824234,24.65095193045483,56.41904761904763,10379.09998168948,1037.909998168948
2021-33,BO,241.0,194.0,467.0,32.0,2295.399798583987,11.476190476190476,9.238095238095237,22.238095238095237,1.5238095238095237,109.30475231352318,26.27976066548991,54.39285714285714,25523.899920654363,1215.4238057454459
2021-33,FC,206.0,259.0,497.0,32.0,1692.6003479003928,14.714285714285714,18.5,35.5,2.2857142857142856,120.90002485002805,26.75721673165321,50.168509070294796,17617.400305175826,1258.3857360839875
2021-33,FE,123.10684523809525,88.71428571428571,257.82738095238096,46.00625,2601.0002258300833,3.9711885560675886,2.8617511520737327,8.317012288786483,1.4840725806451613,83.90323309129302,25.053202694034944,63.33661034306196,36777.59999389658,1186.3741933515025
2021-33,MO,342.0,934.0,1371.0,95.0,2267.8998596191445,14.869565217391305,40.608695652173914,59.608695652173914,4.130434782608695,98.6043417225715,27.636427574078763,53.77003105590062,26781.900042724672,1164.4304366402032
2021-33,PC,31.0,9.0,45.0,5.0,306.8000244140624,10.333333333333334,3.0,15.0,1.6666666666666667,102.26667480468747,26.809524972098234,49.428571428571466,3670.60021972657,1223.5334065755233
2021-33,PR,4.28571428571428,9.42857142857142,13.714285714285703,0.0,282.0999694824221,1.4285714285714266,3.14285714285714,4.571428571428568,0.0,94.03332316080737,27.052379256959966,51.58730158730157,3616.099865722667,1205.3666219075556
2021-33,RA,623.6626076626077,1138.2076032076031,1924.2485892485893,162.3783783783784,5063.499804687506,11.993511685819378,21.88860775399237,37.004780562472874,3.1226611226611225,97.3749962439905,26.145001816895153,56.51526251526251,62317.902325439616,1198.4211985661464
2021-33,RE,118.0,111.0,271.0,42.0,1132.3999267578158,11.8,11.1,27.1,4.2,113.23999267578158,27.53339194645958,55.35932539682538,11511.499908447297,1151.1499908447297
2021-34,BO,190.0,148.0,384.0,46.0,1354.1000305175808,9.047619047619047,7.0476190476190474,18.285714285714285,2.1904761904761907,64.48095383417052,23.638492267634614,61.409297052154194,26877.999951171943,1279.9047595796162
2021-34,FC,133.0,197.0,409.0,79.0,864.8001525878925,9.5,14.071428571428571,29.214285714285715,5.642857142857143,61.77143947056375,24.302859247947257,54.28163265306122,18482.200457763716,1320.1571755545513
2021-34,FE,174.5970568783069,53.84126984126985,266.84457671957676,38.40625,2056.199804687505,5.632163125106674,1.7368151561699952,8.60788957159925,1.2389112903225807,66.32902595766144,21.975777312248006,68.94937275985663,38833.799798584085,1252.703219309164
2021-34,MO,375.0,993.0,1536.0,168.0,2195.1998657226613,16.304347826086957,43.17391304347826,66.78260869565217,7.304347826086956,95.4434724227244,23.524598533591618,58.32466748227617,28977.099908447333,1259.8739090629274
2021-34,PC,20.0,7.0,33.0,6.0,256.5000061035161,6.666666666666667,2.3333333333333335,11.0,2.0,85.50000203450537,24.414286004929366,53.0,3927.100225830087,1309.033408610029
2021-34,PR,14.0,9.0,25.0,2.0,218.8999511718755,4.666666666666667,3.0,8.333333333333334,0.6666666666666666,72.96665039062516,24.498806980678033,56.25,3834.999816894541,1278.3332722981804
2021-34,RA,566.8494208494209,920.5482625482625,1781.4903474903474,294.0926640926641,3917.9001220703203,10.900950400950402,17.702851202851203,34.25942975942976,5.655628155628156,75.34423311673693,23.136885104675354,62.871945415695414,66235.80244750994,1273.7654316828834
2021-34,RE,93.0,148.0,304.0,63.0,876.9998779296891,9.3,14.8,30.4,6.3,87.69998779296891,23.95511747087754,57.21071428571429,12388.49978637699,1238.849978637699
2021-35,BO,265.0,116.0,434.5,53.5,1342.2997863769567,12.619047619047619,5.523809523809524,20.69047619047619,2.5476190476190474,63.919037446521756,19.77044087105059,67.33180272108844,28220.2997375489,1343.823797026138
2021-35,FC,121.0,174.0,364.0,69.0,819.5001892089864,8.642857142857142,12.428571428571429,26.0,4.928571428571429,58.53572780064189,20.2975784691013,63.67474489795918,19301.700646972706,1378.692903355193
2021-35,FE,215.5150462962963,46.44444444444444,276.36574074074076,14.40625,1695.9998596191456,6.7348451967592595,1.4513888888888888,8.636429398148149,0.4501953125,52.9999956130983,19.82322231852822,72.64874751984127,41604.099700927836,1300.1281156539949
2021-35,MO,353.0,403.0,879.0,123.0,974.5000122070342,15.347826086956522,17.52173913043478,38.21739130434783,5.3478260869565215,42.36956574813192,20.152184142434592,62.910041407867496,29951.599920654367,1302.2434748110595
2021-35,PC,34.0,12.0,53.0,7.0,186.0999816894537,11.333333333333334,4.0,17.666666666666668,2.3333333333333335,62.0333272298179,21.061903889974,57.14285714285713,4113.20020751954,1371.0667358398466
2021-35,PR,14.0,5.0,27.0,8.0,192.6999328613286,4.666666666666667,1.6666666666666667,9.0,2.6666666666666665,64.2333109537762,20.94583028157553,60.10714285714283,4027.69974975587,1342.5665832519567
2021-35,RA,418.94032994032995,578.3144963144963,1336.5422955422955,339.28746928746926,2818.400225830087,8.056544806544807,11.121432621432621,25.702736452736453,6.524759024759025,54.20000434288629,19.542077947306012,69.413243006993,69054.20267334003,1327.9654360257698
2021-35,RE,87.0,43.0,220.0,90.0,544.5000122070328,8.7,4.3,22.0,9.0,54.45000122070328,20.25700053623748,63.98928571428572,12932.999798584022,1293.2999798584021
2021-36,BO,410.8461538461538,15.0,501.3461538461538,75.5,1057.0001098632843,19.564102564102562,0.7142857142857143,23.873626373626372,3.5952380952380953,50.33333856491829,20.461905606155238,58.941043083900226,29277.29984741218,1394.1571355910564
2021-36,FC,222.6666666666667,75.33333333333333,410.00000000000006,112.00000000000003,802.3999450683617,15.904761904761907,5.3809523809523805,29.28571428571429,8.000000000000002,57.31428179059726,20.475637197170137,59.9030612244898,20104.100592041064,1436.0071851457903
2021-36,FE,275.01443579568587,16.45384615384615,339.18222425722433,47.71394230769231,1705.1999206543016,8.594201118615183,0.5141826923076922,10.59944450803826,1.4910606971153846,53.28749752044693,20.54302768934343,65.65952380952382,43309.29962158215,1353.4156131744421
2021-36,MO,693.0,358.0,1321.0,270.0,1652.099841308598,30.130434782608695,15.565217391304348,57.43478260869565,11.73913043478261,71.83042788298252,20.997161161266103,56.65314009661836,31603.69976196297,1374.073902694042
2021-36,PC,52.0,9.0,86.0,25.0,216.4000000000005,17.333333333333332,3.0,28.666666666666668,8.333333333333334,72.1333333333335,22.5047619047619,45.9047619047619,4329.600207519542,1443.2000691731807
2021-36,PR,42.0,5.0,67.0,20.0,191.3000183105473,14.0,1.6666666666666667,22.333333333333332,6.666666666666667,63.76667277018243,21.769048490978435,52.31746031746033,4218.999768066418,1406.3332560221393
2021-36,RA,584.1515151515151,526.7939393939394,1475.3636363636365,364.41818181818184,2487.3998352050853,11.233682983682984,10.13065268065268,28.372377622377623,7.008041958041958,47.83461221548241,20.00730436346035,62.877327533577535,71541.60250854511,1375.8000482412522
2021-36,RE,227.0,25.0,351.0,99.0,555.5000854492203,22.7,2.5,35.1,9.9,55.55000854492202,20.87857266380674,58.2952380952381,13488.499884033241,1348.849988403324
2021-37,BO,614.1538461538462,6.0,642.1538461538462,22.0,1381.4998962402376,29.245421245421248,0.2857142857142857,30.57875457875458,1.0476190476190477,65.78570934477321,22.200566194495405,58.80340136054422,30658.79974365242,1459.9428449358295
2021-37,FC,223.3333333333333,42.66666666666667,349.99999999999994,84.0,857.0999755859399,15.95238095238095,3.047619047619048,24.999999999999996,6.0,61.221426827567136,21.76795887849771,55.060714285714276,20961.200567627002,1497.2286119733574
2021-37,FE,412.3170348170348,14.960439560439564,438.96978206978207,11.69230769230769,2088.999896240239,13.30054951022693,0.4825948245303085,14.160315550638131,0.37717121588089325,67.38709342710449,22.016594653464093,68.46737071172555,44020.49951171887,1420.0161132812536
2021-37,MO,899.0,113.0,1260.0,248.0,1787.0998291015665,39.08695652173913,4.913043478260869,54.78260869565217,10.782608695652174,77.69999256963332,22.033178890483658,59.35852311939269,33390.79959106453,1451.7738952636753
2021-37,PC,145.0,2.0,158.0,11.0,232.1000427246098,48.333333333333336,0.6666666666666666,52.666666666666664,3.6666666666666665,77.36668090820326,23.2523829868862,53.0,4561.700250244151,1520.5667500813836
2021-37,PR,45.0,0.0,54.0,9.0,243.9000122070317,15.0,0.0,18.0,3.0,81.30000406901057,22.791005484767734,51.5714285714286,4462.89978027345,1487.63326009115
2021-37,RA,869.3160173160173,259.2060606060606,1414.9402597402598,286.41818181818184,3268.500317382821,17.045412104235634,5.082471776589424,27.74392666157372,5.616042780748663,64.08824151731021,21.479989064171868,61.66859349800526,73406.80288085957,1439.3490760952857
2021-37,RE,218.0,15.0,307.0,74.0,662.5000122070331,21.8,1.5,30.7,7.4,66.25000122070331,21.4042859213693,54.74821428571429,14150.999896240273,1415.0999896240273
2021-38,BO,510.0,3.0,538.0,25.0,986.9999206542996,24.285714285714285,0.14285714285714285,25.61904761904762,1.1904761904761905,46.99999622163332,19.3825106925705,77.30583900226758,31645.79966430672,1506.942841157463
2021-38,FC,325.75,14.0,382.75,43.0,986.9998474121121,23.267857142857142,1.0,27.339285714285715,3.0714285714285716,70.49998910086515,20.834267569993916,65.86918934240364,21948.200415039115,1567.7286010742225
2021-38,FE,506.9388666888666,16.58571428571429,539.5245809745809,16.0,1372.7998352050827,17.48065057547816,0.57192118226601,18.604295895675204,0.5517241379310345,47.3379253518994,18.818243732633693,79.66348211175797,42335.99953002941,1459.862052759635
2021-38,MO,1182.0,59.0,1396.0,155.0,1077.9999938964877,51.391304347826086,2.5652173913043477,60.69565217391305,6.739130434782608,46.86956495202121,19.394565236346345,71.84627329192547,34468.79958496102,1498.6434602156967
2021-38,PC,99.0,0.0,113.0,14.0,167.0000061035162,33.0,0.0,37.666666666666664,4.666666666666667,55.666668701172064,20.1523812430246,62.8095238095238,4728.700256347667,1576.2334187825556
